group,indicator,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10
cybertrn,CPU 2018 Usage,775.88,812.2978,812.403078,822.092248,908.462548,908.4872702,908.4872702,908.6711592,910.1547692,920.8364692,923.8086892,923.8086892,924.7320222,11751.63202,12922.92202,12931.0248,12979.2451,12992.3023,13173.7223,39967.2223,39967.2223,39967.2223,39967.2223,39967.22397,39967.31397,41259.61397,41259.61397,41259.6173,41259.68536,43255.97536,44901.74536,45925.33536,46073.72836,46138.09946
cybertrn,CPU 2013 Usage,0,0.3275,26.9158,447.9668,4361.7568,7776.9668,10075.6068,10075.78208,10089.23288,10106.31038,10106.31149,10106.31149,10129.76869,10352.95069,10461.57269,10578.39969,10826.04069,10828.96041,10828.96041,10828.96041,10828.96041,10828.96041,10828.96041,10829.04763,10829.04763,10829.13485,10829.13485,10829.13596,10829.16485,10906.10315,10906.10315,10906.10315,10906.10593,10906.12315
hpcreu,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291389,0.291389,0.291389,0.291389,0.291389,243.190389,243.190389,243.190389,243.190389,243.190389,243.190389,243.190389,243.190389
hpcreu,CPU 2018 Usage,0,0.0352778,0.0352778,0.0352778,0.0352778,0.0352778,0.0352778,0.0352778,7.3302778,98.8302778,98.8302778,98.8422222,98.8422222,98.8422222,98.84611109,98.84611109,98.84611109,98.84611109,98.84611109,98.84611109,98.84611109,100.2155511,100.2155511,100.2155511,100.2299955,100.2299955,100.2299955,100.2299955,100.2299955,100.2299955,100.2299955,100.2299955,100.2299955,100.2299955
pi_abiswas,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370.782,489.921,617.05,1445.497,1445.497,1445.497,1445.497,1445.497,1445.497,1445.497,1445.497
pi_abiswas,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03722,9.85055,9.85055,9.85055,9.85055,9.85055,9.85055,9.85055,9.85055,9.85055,9.85055,9.85055
pi_adali,CPU 2013 Usage,0,53.0425,25199.6425,36353.0425,57309.5425,68404.3425,69653.5825,70622.5955,70738.9025,70939.5295,71109.2365,71109.44094,71109.44094,71109.44094,71109.44094,71109.44094,71268.25394,71527.60994,76705.80994,77868.45994,77868.71772,77868.71772,80345.81772,102244.7177,103280.7577,111930.7877,120292.4377,126944.0877,134449.1877,141860.0977,144648.2777,144648.2777,144648.2777,144648.2777
pi_adali,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2718.16,3430.737,3496.9837,3759.9017,3845.8814,3845.8814,3845.8814,5633.2914,5633.2914,15548.8214,19646.1514,20353.7484,32896.9484,40795.4984,50147.7484,55291.8284
pi_adash2,CPU 2013 Usage,40.07,40.220556,40.220556,40.220556,40.220556,40.220556,40.220556,40.220556,40.220556,40.220556,40.220556,40.220556,40.220556,40.220556,40.220556,40.220556,40.220556,40.220556,40.220556,40.220556,40.220556,40.220556,40.220556,40.220556,40.220556,40.220556,40.220556,40.220556,40.220556,40.220556,40.220556,40.220556,40.220556,40.220556
pi_adash2,CPU 2018 Usage,0,0,0,0,8.495,8.495,8.495,8.495,8.495,8.495,8.495,8.495,8.495,8.495,8.495,8.495,8.495,8.495,8.495,8.495,8.495,8.495,8.495,8.495,8.495,8.495,8.495,8.495,8.495,8.495,8.495,8.495,8.495,8.495
pi_amita,CPU 2013 Usage,0,0,0,0,0,0,0,0,6.88722,85.17002,908.28502,908.28502,908.28502,908.28502,908.28502,908.28502,908.28502,908.28502,908.28502,908.28502,908.28502,908.28502,908.28502,908.28502,908.28502,908.28502,908.28502,908.28502,908.28502,908.28502,908.28502,908.28502,908.28502,908.28502
pi_amita,CPU 2018 Usage,0,0,0,0,0,0,0,0,0.596111,0.596111,0.596111,0.596111,0.596111,0.596111,0.596111,0.596111,0.596111,0.596111,0.938611,0.938611,0.938611,0.938611,0.938611,0.938611,0.938611,0.938611,0.938611,0.938611,0.938611,0.938611,0.938611,0.938611,0.938611,0.938611
pi_ataca,CPU 2013 Usage,0,10176.5,51337.2,115604.2,151560.1,226069.6,278571.1,291215,294426.64,321756.04,347859.54,438175.24,441450.26,464960.66,465161.073,471418.433,567733.133,599340.833,635243.933,643024.023,664322.623,664654.961,664671.761,665537.201,665537.201,665551.2899,665551.2899,666132.1569,666132.7791,703159.0791,704125.9371,705124.1331,706737.4931,708018.1131
pi_ataca,CPU 2018 Usage,0,22.46,22.46,30.58111,30.58111,30.58111,33.88555,33.88555,33.88555,33.88555,33.88555,33.88555,33.88555,33.88555,33.88555,33.88555,33.88555,33.88555,33.88555,33.88555,33.88555,33.88555,33.88555,33.88555,33.88555,33.88555,33.88555,33.88555,33.88555,33.88555,33.88555,33.88555,33.88555,33.88555
